CHROM,START,STOP,REGION,gene,RELATIVEPOS,LENGTH,ID
5,5061,5161,upstream,AT5G01010,20,100,59
5,5117,5217,downstream,AT5G01020,48,100,137
5,5156,5256,downstream,AT5G01015,41,100,98
5,5161,5261,upstream,AT5G01010,19,100,60
5,5217,5317,downstream,AT5G01020,47,100,138
5,5256,5356,gene body,AT5G01015,40,100,99
5,5261,5361,upstream,AT5G01010,18,100,61
5,5317,5417,downstream,AT5G01020,46,100,139
5,5356,5456,gene body,AT5G01015,36,100,100
5,5361,5461,upstream,AT5G01010,17,100,62
5,5417,5517,downstream,AT5G01020,45,100,140
5,5456,5556,gene body,AT5G01015,32,100,101
5,5461,5561,upstream,AT5G01010,16,100,63
5,5517,5617,downstream,AT5G01020,44,100,141
5,5556,5656,gene body,AT5G01015,29,100,102
5,5561,5661,upstream,AT5G01010,15,100,64
5,5617,5717,downstream,AT5G01020,43,100,142
5,5656,5756,gene body,AT5G01015,25,100,103
5,5661,5761,upstream,AT5G01010,14,100,65
5,5717,5817,downstream,AT5G01020,42,100,143
5,5756,5856,gene body,AT5G01015,21,100,104
5,5761,5861,upstream,AT5G01010,13,100,66
5,5817,5917,downstream,AT5G01020,41,100,144
5,5861,5961,upstream,AT5G01010,12,100,67
5,5891,5991,upstream,AT5G01015,20,100,105
5,5917,6017,gene body,AT5G01020,40,100,145
5,5961,6061,upstream,AT5G01010,11,100,68
5,5991,6091,upstream,AT5G01015,19,100,106
5,6017,6117,gene body,AT5G01020,39,100,146
5,6061,6161,upstream,AT5G01010,10,100,69
5,6091,6191,upstream,AT5G01015,18,100,107
5,6117,6217,gene body,AT5G01020,38,100,147
5,6161,6261,upstream,AT5G01010,9,100,70
5,6191,6291,upstream,AT5G01015,17,100,108
5,6217,6317,gene body,AT5G01020,38,100,148
5,6261,6361,upstream,AT5G01010,8,100,71
5,6291,6391,upstream,AT5G01015,16,100,109
5,6317,6417,gene body,AT5G01020,37,100,149
5,6361,6461,upstream,AT5G01010,7,100,72
5,6391,6491,upstream,AT5G01015,15,100,110
5,6417,6517,gene body,AT5G01020,36,100,150
5,6461,6561,upstream,AT5G01010,6,100,73
5,6491,6591,upstream,AT5G01015,14,100,111
5,6517,6617,gene body,AT5G01020,35,100,151
5,6561,6661,upstream,AT5G01010,5,100,74
5,6591,6691,upstream,AT5G01015,13,100,112
5,6617,6717,gene body,AT5G01020,34,100,152
5,6661,6761,upstream,AT5G01010,4,100,75
5,6691,6791,upstream,AT5G01015,12,100,113
5,6717,6817,gene body,AT5G01020,34,100,153
5,6761,6861,upstream,AT5G01010,3,100,76
5,6791,6891,upstream,AT5G01015,11,100,114
5,6817,6917,gene body,AT5G01020,33,100,154
5,6861,6961,upstream,AT5G01010,2,100,77
5,6891,6991,upstream,AT5G01015,10,100,115
5,6917,7017,gene body,AT5G01020,32,100,155
5,6961,7061,upstream,AT5G01010,1,100,78
5,6991,7091,upstream,AT5G01015,9,100,116
5,7017,7117,gene body,AT5G01020,31,100,156
5,7091,7191,upstream,AT5G01015,8,100,117
5,7117,7217,gene body,AT5G01020,30,100,157
5,7191,7291,upstream,AT5G01015,7,100,118
5,7217,7317,gene body,AT5G01020,30,100,158
5,7291,7391,upstream,AT5G01015,6,100,119
5,7317,7417,gene body,AT5G01020,29,100,159
5,7391,7491,upstream,AT5G01015,5,100,120
5,7417,7517,gene body,AT5G01020,28,100,160
5,7491,7591,upstream,AT5G01015,4,100,121
5,7517,7617,gene body,AT5G01020,27,100,161
5,7591,7691,upstream,AT5G01015,3,100,122
5,7617,7717,gene body,AT5G01020,27,100,162
5,7691,7791,upstream,AT5G01015,2,100,123
5,7717,7817,gene body,AT5G01020,26,100,163
5,7791,7891,upstream,AT5G01015,1,100,124
5,7817,7917,gene body,AT5G01020,25,100,164
5,7869,7969,upstream,AT5G01030,1,100,190
5,7917,8017,gene body,AT5G01020,24,100,165
5,7969,8069,upstream,AT5G01030,2,100,191
5,8017,8117,gene body,AT5G01020,23,100,166
5,8069,8169,upstream,AT5G01030,3,100,192
5,8117,8217,gene body,AT5G01020,23,100,167
5,8169,8269,upstream,AT5G01030,4,100,193
5,8217,8317,gene body,AT5G01020,22,100,168
5,8269,8369,upstream,AT5G01030,5,100,194
5,8317,8417,gene body,AT5G01020,21,100,169
5,8369,8469,upstream,AT5G01030,6,100,195
5,8444,8544,upstream,AT5G01020,20,100,170
5,8469,8569,upstream,AT5G01030,7,100,196
5,8544,8644,upstream,AT5G01020,19,100,171
5,8569,8669,upstream,AT5G01030,8,100,197
5,8644,8744,upstream,AT5G01020,18,100,172
5,8669,8769,upstream,AT5G01030,9,100,198
5,8744,8844,upstream,AT5G01020,17,100,173
5,8769,8869,upstream,AT5G01030,10,100,199
5,8844,8944,upstream,AT5G01020,16,100,174
5,8869,8969,upstream,AT5G01030,11,100,200
5,8944,9044,upstream,AT5G01020,15,100,175
5,8969,9069,upstream,AT5G01030,12,100,201
5,9044,9144,upstream,AT5G01020,14,100,176
5,9069,9169,upstream,AT5G01030,13,100,202
5,9144,9244,upstream,AT5G01020,13,100,177
5,9169,9269,upstream,AT5G01030,14,100,203
5,9244,9344,upstream,AT5G01020,12,100,178
5,9269,9369,upstream,AT5G01030,15,100,204
5,9344,9444,upstream,AT5G01020,11,100,179
5,9369,9469,upstream,AT5G01030,16,100,205
5,9444,9544,upstream,AT5G01020,10,100,180
5,9469,9569,upstream,AT5G01030,17,100,206
5,9544,9644,upstream,AT5G01020,9,100,181
5,9569,9669,upstream,AT5G01030,18,100,207
5,9644,9744,upstream,AT5G01020,8,100,182
5,9669,9769,upstream,AT5G01030,19,100,208
5,9744,9844,upstream,AT5G01020,7,100,183
5,9769,9869,upstream,AT5G01030,20,100,209
5,9844,9944,upstream,AT5G01020,6,100,184
5,9869,9969,gene body,AT5G01030,21,100,210
5,9944,10044,upstream,AT5G01020,5,100,185
5,9969,10069,gene body,AT5G01030,22,100,211
5,10044,10144,upstream,AT5G01020,4,100,186
5,10069,10169,gene body,AT5G01030,22,100,212
5,10144,10244,upstream,AT5G01020,3,100,187
5,10169,10269,gene body,AT5G01030,23,100,213
5,10244,10344,upstream,AT5G01020,2,100,188
5,10269,10369,gene body,AT5G01030,23,100,214
5,10344,10444,upstream,AT5G01020,1,100,189
5,10369,10469,gene body,AT5G01030,24,100,215
5,10469,10569,gene body,AT5G01030,25,100,216
5,10569,10669,gene body,AT5G01030,25,100,217
5,10669,10769,gene body,AT5G01030,26,100,218
5,10769,10869,gene body,AT5G01030,26,100,219
5,10869,10969,gene body,AT5G01030,27,100,220
5,10969,11069,gene body,AT5G01030,28,100,221
5,11069,11169,gene body,AT5G01030,28,100,222
5,11128,11228,downstream,AT5G01040,60,100,263
5,11169,11269,gene body,AT5G01030,29,100,223
5,11228,11328,downstream,AT5G01040,59,100,264
5,11269,11369,gene body,AT5G01030,29,100,224
5,11328,11428,downstream,AT5G01040,58,100,265
5,11369,11469,gene body,AT5G01030,30,100,225
5,11428,11528,downstream,AT5G01040,57,100,266
5,11469,11569,gene body,AT5G01030,30,100,226
5,11528,11628,downstream,AT5G01040,56,100,267
5,11569,11669,gene body,AT5G01030,31,100,227
5,11628,11728,downstream,AT5G01040,55,100,268
5,11669,11769,gene body,AT5G01030,32,100,228
5,11728,11828,downstream,AT5G01040,54,100,269
5,11769,11869,gene body,AT5G01030,32,100,229
5,11828,11928,downstream,AT5G01040,53,100,270
5,11869,11969,gene body,AT5G01030,33,100,230
5,11928,12028,downstream,AT5G01040,52,100,271
5,11969,12069,gene body,AT5G01030,33,100,231
5,12028,12128,downstream,AT5G01040,51,100,272
5,12069,12169,gene body,AT5G01030,34,100,232
5,12128,12228,downstream,AT5G01040,50,100,273
5,12169,12269,gene body,AT5G01030,35,100,233
5,12228,12328,downstream,AT5G01040,49,100,274
5,12269,12369,gene body,AT5G01030,35,100,234
5,12328,12428,downstream,AT5G01040,48,100,275
5,12369,12469,gene body,AT5G01030,36,100,235
5,12428,12528,downstream,AT5G01040,47,100,276
5,12469,12569,gene body,AT5G01030,36,100,236
5,12528,12628,downstream,AT5G01040,46,100,277
5,12569,12669,gene body,AT5G01030,37,100,237
5,12628,12728,downstream,AT5G01040,45,100,278
5,12669,12769,gene body,AT5G01030,38,100,238
5,12728,12828,downstream,AT5G01040,44,100,279
5,12769,12869,gene body,AT5G01030,38,100,239
5,12828,12928,downstream,AT5G01040,43,100,280
5,12869,12969,gene body,AT5G01030,39,100,240
5,12928,13028,downstream,AT5G01040,42,100,281
5,12969,13069,gene body,AT5G01030,39,100,241
5,13028,13128,downstream,AT5G01040,41,100,282
5,13069,13169,gene body,AT5G01030,40,100,242
5,13128,13228,gene body,AT5G01040,40,100,283
5,13228,13328,gene body,AT5G01040,39,100,284
5,13235,13335,downstream,AT5G01030,41,100,243
5,13328,13428,gene body,AT5G01040,39,100,285
5,13335,13435,downstream,AT5G01030,42,100,244
5,13428,13528,gene body,AT5G01040,38,100,286
5,13435,13535,downstream,AT5G01030,43,100,245
5,13528,13628,gene body,AT5G01040,37,100,287
5,13535,13635,downstream,AT5G01030,44,100,246
5,13628,13728,gene body,AT5G01040,37,100,288
5,13635,13735,downstream,AT5G01030,45,100,247
5,13728,13828,gene body,AT5G01040,36,100,289
5,13735,13835,downstream,AT5G01030,46,100,248
5,13828,13928,gene body,AT5G01040,35,100,290
5,13835,13935,downstream,AT5G01030,47,100,249
5,13928,14028,gene body,AT5G01040,35,100,291
5,13935,14035,downstream,AT5G01030,48,100,250
5,14028,14128,gene body,AT5G01040,34,100,292
5,14035,14135,downstream,AT5G01030,49,100,251
5,14128,14228,gene body,AT5G01040,33,100,293
5,14135,14235,downstream,AT5G01030,50,100,252
5,14228,14328,gene body,AT5G01040,33,100,294
5,14235,14335,downstream,AT5G01030,51,100,253
5,14328,14428,gene body,AT5G01040,32,100,295
5,14335,14435,downstream,AT5G01030,52,100,254
5,14428,14528,gene body,AT5G01040,31,100,296
5,14435,14535,downstream,AT5G01030,53,100,255
5,14528,14628,gene body,AT5G01040,31,100,297
5,14535,14635,downstream,AT5G01030,54,100,256
5,14628,14728,gene body,AT5G01040,30,100,298
5,14635,14735,downstream,AT5G01030,55,100,257
5,14728,14828,gene body,AT5G01040,30,100,299
5,14735,14835,downstream,AT5G01030,56,100,258
5,14828,14928,gene body,AT5G01040,29,100,300
5,14835,14935,downstream,AT5G01030,57,100,259
5,14928,15028,gene body,AT5G01040,28,100,301
5,14935,15035,downstream,AT5G01030,58,100,260
5,15028,15128,gene body,AT5G01040,28,100,302
5,15035,15135,downstream,AT5G01030,59,100,261
5,15128,15228,gene body,AT5G01040,27,100,303
5,15135,15235,downstream,AT5G01030,60,100,262
5,15228,15328,gene body,AT5G01040,26,100,304
5,15328,15428,gene body,AT5G01040,26,100,305
5,15428,15528,gene body,AT5G01040,25,100,306
5,15528,15628,gene body,AT5G01040,24,100,307
5,15628,15728,gene body,AT5G01040,24,100,308
5,15728,15828,gene body,AT5G01040,23,100,309
5,15828,15928,gene body,AT5G01040,22,100,310
5,15928,16028,gene body,AT5G01040,22,100,311
5,16028,16128,gene body,AT5G01040,21,100,312
5,16086,16186,downstream,AT5G01050,60,100,333
5,16173,16273,upstream,AT5G01040,20,100,313
5,16186,16286,downstream,AT5G01050,59,100,334
5,16273,16373,upstream,AT5G01040,19,100,314
5,16286,16386,downstream,AT5G01050,58,100,335
5,16373,16473,upstream,AT5G01040,18,100,315
5,16386,16486,downstream,AT5G01050,57,100,336
5,16473,16573,upstream,AT5G01040,17,100,316
5,16486,16586,downstream,AT5G01050,56,100,337
5,16573,16673,upstream,AT5G01040,16,100,317
5,16586,16686,downstream,AT5G01050,55,100,338
5,16673,16773,upstream,AT5G01040,15,100,318
5,16686,16786,downstream,AT5G01050,54,100,339
5,16773,16873,upstream,AT5G01040,14,100,319
5,16786,16886,downstream,AT5G01050,53,100,340
5,16873,16973,upstream,AT5G01040,13,100,320
5,16886,16986,downstream,AT5G01050,52,100,341
5,16973,17073,upstream,AT5G01040,12,100,321
5,16986,17086,downstream,AT5G01050,51,100,342
5,17073,17173,upstream,AT5G01040,11,100,322
5,17086,17186,downstream,AT5G01050,50,100,343
5,17173,17273,upstream,AT5G01040,10,100,323
5,17186,17286,downstream,AT5G01050,49,100,344
5,17273,17373,upstream,AT5G01040,9,100,324
5,17286,17386,downstream,AT5G01050,48,100,345
5,17373,17473,upstream,AT5G01040,8,100,325
5,17386,17486,downstream,AT5G01050,47,100,346
5,17473,17573,upstream,AT5G01040,7,100,326
5,17486,17586,downstream,AT5G01050,46,100,347
5,17573,17673,upstream,AT5G01040,6,100,327
5,17586,17686,downstream,AT5G01050,45,100,348
5,17673,17773,upstream,AT5G01040,5,100,328
5,17686,17786,downstream,AT5G01050,44,100,349
5,17773,17873,upstream,AT5G01040,4,100,329
5,17786,17886,downstream,AT5G01050,43,100,350
5,17873,17973,upstream,AT5G01040,3,100,330
5,17886,17986,downstream,AT5G01050,42,100,351
5,17973,18073,upstream,AT5G01040,2,100,331
5,17986,18086,downstream,AT5G01050,41,100,352
5,18073,18173,upstream,AT5G01040,1,100,332
5,18086,18186,gene body,AT5G01050,40,100,353
5,18186,18286,gene body,AT5G01050,39,100,354
5,18286,18386,gene body,AT5G01050,39,100,355
5,18386,18486,gene body,AT5G01050,38,100,356
5,18486,18586,gene body,AT5G01050,37,100,357
5,18586,18686,gene body,AT5G01050,36,100,358
5,18686,18786,gene body,AT5G01050,36,100,359
5,18786,18886,gene body,AT5G01050,35,100,360
5,18886,18986,gene body,AT5G01050,34,100,361
5,18986,19086,gene body,AT5G01050,33,100,362
5,19086,19186,gene body,AT5G01050,33,100,363
5,19186,19286,gene body,AT5G01050,32,100,364
5,19286,19386,gene body,AT5G01050,31,100,365
5,19386,19486,gene body,AT5G01050,30,100,366
5,19486,19586,gene body,AT5G01050,30,100,367
5,19586,19686,gene body,AT5G01050,29,100,368
5,19686,19786,gene body,AT5G01050,28,100,369
5,19786,19886,gene body,AT5G01050,28,100,370
5,19886,19986,gene body,AT5G01050,27,100,371
5,19986,20086,gene body,AT5G01050,26,100,372
5,20086,20186,gene body,AT5G01050,25,100,373
5,20186,20286,gene body,AT5G01050,25,100,374
5,20286,20386,gene body,AT5G01050,24,100,375
5,20386,20486,gene body,AT5G01050,23,100,376
5,20486,20586,gene body,AT5G01050,22,100,377
5,20586,20686,gene body,AT5G01050,22,100,378
5,20686,20786,gene body,AT5G01050,21,100,379
5,20740,20840,upstream,AT5G01060,1,100,400
5,20812,20912,upstream,AT5G01050,20,100,380
5,20840,20940,upstream,AT5G01060,2,100,401
5,20912,21012,upstream,AT5G01050,19,100,381
5,20940,21040,upstream,AT5G01060,3,100,402
5,21012,21112,upstream,AT5G01050,18,100,382
5,21040,21140,upstream,AT5G01060,4,100,403
5,21112,21212,upstream,AT5G01050,17,100,383
5,21140,21240,upstream,AT5G01060,5,100,404
5,21212,21312,upstream,AT5G01050,16,100,384
5,21240,21340,upstream,AT5G01060,6,100,405
5,21312,21412,upstream,AT5G01050,15,100,385
5,21340,21440,upstream,AT5G01060,7,100,406
5,21412,21512,upstream,AT5G01050,14,100,386
5,21440,21540,upstream,AT5G01060,8,100,407
5,21512,21612,upstream,AT5G01050,13,100,387
5,21540,21640,upstream,AT5G01060,9,100,408
5,21612,21712,upstream,AT5G01050,12,100,388
5,21640,21740,upstream,AT5G01060,10,100,409
5,21712,21812,upstream,AT5G01050,11,100,389
5,21740,21840,upstream,AT5G01060,11,100,410
5,21812,21912,upstream,AT5G01050,10,100,390
5,21840,21940,upstream,AT5G01060,12,100,411
5,21912,22012,upstream,AT5G01050,9,100,391
5,21940,22040,upstream,AT5G01060,13,100,412
5,22012,22112,upstream,AT5G01050,8,100,392
5,22040,22140,upstream,AT5G01060,14,100,413
5,22112,22212,upstream,AT5G01050,7,100,393
5,22140,22240,upstream,AT5G01060,15,100,414
5,22212,22312,upstream,AT5G01050,6,100,394
5,22240,22340,upstream,AT5G01060,16,100,415
5,22312,22412,upstream,AT5G01050,5,100,395
5,22340,22440,upstream,AT5G01060,17,100,416
5,22412,22512,upstream,AT5G01050,4,100,396
5,22440,22540,upstream,AT5G01060,18,100,417
5,22512,22612,upstream,AT5G01050,3,100,397
5,22540,22640,upstream,AT5G01060,19,100,418
5,22612,22712,upstream,AT5G01050,2,100,398
5,22640,22740,upstream,AT5G01060,20,100,419
5,22712,22812,upstream,AT5G01050,1,100,399
5,22740,22840,gene body,AT5G01060,21,100,420
5,22840,22940,gene body,AT5G01060,22,100,421
5,22940,23040,gene body,AT5G01060,23,100,422
5,23040,23140,gene body,AT5G01060,24,100,423
5,23094,23194,downstream,AT5G01070,60,100,461
5,23140,23240,gene body,AT5G01060,25,100,424
5,23194,23294,downstream,AT5G01070,59,100,462
5,23240,23340,gene body,AT5G01060,26,100,425
5,23294,23394,downstream,AT5G01070,58,100,463
5,23340,23440,gene body,AT5G01060,27,100,426
5,23394,23494,downstream,AT5G01070,57,100,464
5,23440,23540,gene body,AT5G01060,28,100,427
5,23494,23594,downstream,AT5G01070,56,100,465
5,23540,23640,gene body,AT5G01060,29,100,428
5,23594,23694,downstream,AT5G01070,55,100,466
5,23640,23740,gene body,AT5G01060,30,100,429
5,23694,23794,downstream,AT5G01070,54,100,467
5,23740,23840,gene body,AT5G01060,30,100,430
5,23794,23894,downstream,AT5G01070,53,100,468
5,23840,23940,gene body,AT5G01060,31,100,431
5,23894,23994,downstream,AT5G01070,52,100,469
5,23940,24040,gene body,AT5G01060,32,100,432
5,23994,24094,downstream,AT5G01070,51,100,470
5,24040,24140,gene body,AT5G01060,33,100,433
5,24094,24194,downstream,AT5G01070,50,100,471
5,24140,24240,gene body,AT5G01060,34,100,434
5,24194,24294,downstream,AT5G01070,49,100,472
5,24240,24340,gene body,AT5G01060,35,100,435
5,24294,24394,downstream,AT5G01070,48,100,473
5,24340,24440,gene body,AT5G01060,36,100,436
5,24394,24494,downstream,AT5G01070,47,100,474
5,24440,24540,gene body,AT5G01060,37,100,437
5,24494,24594,downstream,AT5G01070,46,100,475
5,24540,24640,gene body,AT5G01060,38,100,438
5,24594,24694,downstream,AT5G01070,45,100,476
5,24640,24740,gene body,AT5G01060,39,100,439
5,24694,24794,downstream,AT5G01070,44,100,477
5,24740,24840,gene body,AT5G01060,40,100,440
5,24794,24894,downstream,AT5G01070,43,100,478
5,24847,24947,downstream,AT5G01060,41,100,441
5,24848,24948,downstream,AT5G01075,60,100,508
5,24894,24994,downstream,AT5G01070,42,100,479
5,24947,25047,downstream,AT5G01060,42,100,442
5,24948,25048,downstream,AT5G01075,59,100,509
5,24994,25094,downstream,AT5G01070,41,100,480
5,25047,25147,downstream,AT5G01060,43,100,443
5,25048,25148,downstream,AT5G01075,58,100,510
5,25094,25194,gene body,AT5G01070,40,100,481
5,25147,25247,downstream,AT5G01060,44,100,444
5,25148,25248,downstream,AT5G01075,57,100,511
5,25194,25294,gene body,AT5G01070,37,100,482
5,25247,25347,downstream,AT5G01060,45,100,445
5,25248,25348,downstream,AT5G01075,56,100,512
5,25294,25394,gene body,AT5G01070,34,100,483
5,25347,25447,downstream,AT5G01060,46,100,446
5,25348,25448,downstream,AT5G01075,55,100,513
5,25394,25494,gene body,AT5G01070,30,100,484
5,25447,25547,downstream,AT5G01060,47,100,447
5,25448,25548,downstream,AT5G01075,54,100,514
5,25494,25594,gene body,AT5G01070,27,100,485
5,25547,25647,downstream,AT5G01060,48,100,448
5,25548,25648,downstream,AT5G01075,53,100,515
5,25594,25694,gene body,AT5G01070,24,100,486
5,25647,25747,downstream,AT5G01060,49,100,449
5,25648,25748,downstream,AT5G01075,52,100,516
5,25694,25794,gene body,AT5G01070,21,100,487
5,25747,25847,downstream,AT5G01060,50,100,450
5,25748,25848,downstream,AT5G01075,51,100,517
5,25799,25899,upstream,AT5G01070,20,100,488
5,25847,25947,downstream,AT5G01060,51,100,451
5,25848,25948,downstream,AT5G01075,50,100,518
5,25899,25999,upstream,AT5G01070,19,100,489
5,25947,26047,downstream,AT5G01060,52,100,452
5,25948,26048,downstream,AT5G01075,49,100,519
5,25999,26099,upstream,AT5G01070,18,100,490
5,26047,26147,downstream,AT5G01060,53,100,453
5,26048,26148,downstream,AT5G01075,48,100,520
5,26099,26199,upstream,AT5G01070,17,100,491
5,26147,26247,downstream,AT5G01060,54,100,454
5,26148,26248,downstream,AT5G01075,47,100,521
5,26199,26299,upstream,AT5G01070,16,100,492
5,26247,26347,downstream,AT5G01060,55,100,455
5,26248,26348,downstream,AT5G01075,46,100,522
5,26299,26399,upstream,AT5G01070,15,100,493
5,26347,26447,downstream,AT5G01060,56,100,456
5,26348,26448,downstream,AT5G01075,45,100,523
5,26399,26499,upstream,AT5G01070,14,100,494
5,26447,26547,downstream,AT5G01060,57,100,457
5,26448,26548,downstream,AT5G01075,44,100,524
5,26499,26599,upstream,AT5G01070,13,100,495
5,26532,26632,downstream,AT5G01080,60,100,554
5,26547,26647,downstream,AT5G01060,58,100,458
5,26548,26648,downstream,AT5G01075,43,100,525
5,26599,26699,upstream,AT5G01070,12,100,496
5,26632,26732,downstream,AT5G01080,59,100,555
5,26647,26747,downstream,AT5G01060,59,100,459
5,26648,26748,downstream,AT5G01075,42,100,526
5,26699,26799,upstream,AT5G01070,11,100,497
5,26732,26832,downstream,AT5G01080,58,100,556
5,26747,26847,downstream,AT5G01060,60,100,460
5,26748,26848,downstream,AT5G01075,41,100,527
5,26799,26899,upstream,AT5G01070,10,100,498
5,26832,26932,downstream,AT5G01080,57,100,557
5,26848,26948,gene body,AT5G01075,40,100,528
5,26899,26999,upstream,AT5G01070,9,100,499
5,26932,27032,downstream,AT5G01080,56,100,558
5,26948,27048,gene body,AT5G01075,36,100,529
5,26999,27099,upstream,AT5G01070,8,100,500
5,27032,27132,downstream,AT5G01080,55,100,559
5,27048,27148,gene body,AT5G01075,32,100,530
5,27099,27199,upstream,AT5G01070,7,100,501
5,27132,27232,downstream,AT5G01080,54,100,560
5,27148,27248,gene body,AT5G01075,29,100,531
5,27199,27299,upstream,AT5G01070,6,100,502
5,27232,27332,downstream,AT5G01080,53,100,561
5,27248,27348,gene body,AT5G01075,25,100,532
5,27299,27399,upstream,AT5G01070,5,100,503
5,27332,27432,downstream,AT5G01080,52,100,562
5,27348,27448,gene body,AT5G01075,21,100,533
5,27399,27499,upstream,AT5G01070,4,100,504
5,27432,27532,downstream,AT5G01080,51,100,563
5,27449,27549,upstream,AT5G01075,20,100,534
5,27499,27599,upstream,AT5G01070,3,100,505
5,27532,27632,downstream,AT5G01080,50,100,564
5,27549,27649,upstream,AT5G01075,19,100,535
5,27599,27699,upstream,AT5G01070,2,100,506
5,27632,27732,downstream,AT5G01080,49,100,565
5,27649,27749,upstream,AT5G01075,18,100,536
5,27699,27799,upstream,AT5G01070,1,100,507
5,27732,27832,downstream,AT5G01080,48,100,566
5,27749,27849,upstream,AT5G01075,17,100,537
5,27832,27932,downstream,AT5G01080,47,100,567
5,27849,27949,upstream,AT5G01075,16,100,538
5,27932,28032,downstream,AT5G01080,46,100,568
5,27949,28049,upstream,AT5G01075,15,100,539
5,28032,28132,downstream,AT5G01080,45,100,569
5,28049,28149,upstream,AT5G01075,14,100,540
5,28132,28232,downstream,AT5G01080,44,100,570
